id,loaded_distance,appt_date,appt_time,client_id,driver_id,origin_lat,origin_lng,destination_lat,destination_lng,program_name
506074,1.2 mi,2021-10-09,09:45,13390,938,43.97,-75.9,43.98,-75.92,MCD
506075,1.6 mi,2021-10-09,10:45,14916,938,43.98,-75.9,43.98,-75.92,MCD
506076,27.5 mi,2021-10-09,06:30,129,119,44.24,-75.61,43.98,-75.92,MCD
506077,8.1 mi,2021-10-09,08:45,7766,938,44.01,-76.05,43.98,-75.92,MCD
506078,85.2 mi,2021-10-09,08:15,101,671,44.18,-76.09,43.09,-76.19,MCD
506079,22.5 mi,2021-10-09,12:30,9481,926,44.23,-76.08,43.98,-75.94,MCD
506080,28.3 mi,2021-10-09,08:00,3126,487,44.32,-75.96,43.98,-75.92,MCD
506081,74.1 mi,2021-10-09,07:00,801,25,43.98,-75.92,43.06,-76.1,MCD
506082,45.7 mi,2021-10-09,10:45,15661,163,43.87,-75.18,43.98,-75.92,LMCD
506083,23.0 mi,2021-10-09,06:30,15144,154,44.75,-75.13,44.69,-75.5,STLMCD
506084,11.8 mi,2021-10-09,08:45,100,71,44.03,-75.72,43.98,-75.92,MCD
506085,34.8 mi,2021-10-09,08:00,1089,293,43.0,-78.18,43.12,-77.63,GMCD
506086,30.8 mi,2021-10-09,07:45,4165,65,43.89,-75.39,43.98,-75.92,LMCD
506087,7.9 mi,2021-10-09,10:30,6278,66,44.01,-76.05,43.98,-75.92,MCD
506088,27.9 mi,2021-10-09,09:30,2251,53,44.13,-76.32,43.95,-75.91,MCD
506089,28.4 mi,2021-10-09,11:30,2876,976,44.69,-75.48,44.34,-75.47,STLMCD
506090,13.2 mi,2021-10-09,10:00,15274,37,44.94,-74.89,44.97,-74.65,STLMCD
506091,44.7 mi,2021-10-09,09:00,14684,186,44.81,-74.77,44.56,-75.41,""
506092,44.7 mi,2021-10-09,09:00,14686,186,44.81,-74.77,44.56,-75.41,""
506093,44.7 mi,2021-10-09,09:00,14685,186,44.81,-74.77,44.56,-75.41,""
506094,26.2 mi,2021-10-09,08:50,15781,976,44.72,-75.45,44.66,-75.03,FMLM
506095,20.2 mi,2021-10-09,18:20,15781,976,44.6,-75.15,44.72,-75.45,FMLM
506096,23.0 mi,2021-10-09,10:30,15144,154,44.69,-75.5,44.75,-75.13,STLMCD
506097,36.1 mi,2021-10-09,12:00,15582,613,43.98,-75.92,44.33,-75.46,""
506098,26.2 mi,2021-10-09,15:30,14258,66,44.33,-75.47,44.6,-75.15,""
506099,196 mi,2021-10-09,16:00,14231,59,44.93,-74.89,42.82,-76.49,""
506100,196 mi,2021-10-09,16:00,14279,59,44.93,-74.89,42.82,-76.49,""
506101,27.8 mi,2021-10-09,16:00,14232,59,44.93,-74.89,44.64,-75.08,""
506102,26.2 mi,2021-10-09,16:30,14258,66,44.6,-75.15,44.33,-75.47,""
